name,number of categories
Double Your Confidence & Self Esteem - Complete Blueprint,7
Become A Learning Machine How To Read 300 Books This Year,7
Cryptocurrency ICO Investing Course 2018 Identify the Best!,7
Cryptocurrency Investing Buy & Trade Bitcoin & Altcoins,7
Neuroscience for parents How to raise amazing kids,7
Crystal Reiki Master/Teacher Certification,7
"Awaken Your Heart, Creativity & Wisdom with Tara Brach",7
Neuroplasticity How To Rewire Your Brain,7
NLP Practitioner Certificate Course (Beginner to Advanced),7
Assertiveness Basics The 50-minute Communication Guide,7
Arts Therapy - Arts Therapy For Self Healing (Part One),7
NLP Master Practitioner Certificate (Advanced to Expert),7
Mini Habit Mastery The Scientific Way To Change Your Habits,7
"Mindfulness Practitioner Course (Level I, II, III & Master)",7
Mind Mapping Mastery –> Effective Mind Maps -> Step by Step,7
Meditation and the Evolution of Consciousness with Daaji,7
Digital Body Language,7
Animal Reiki Practitioner Certification,7
"Dowsing Course No 2 Multiple Choice, Asking Right Questions",7
Master your brain Neuroscience for personal development,7
"The Complete Job, Interview, Resume/LinkedIn & Network Guide",7
Become A Learning Machine 2.0 Read 300 Books This Year,7
"Cryptocurrency Complete Bitcoin, Ethereum, Altcoins! (8 HR)",7
Manifesting Your Best Life with Deepak Chopra - Part 1,7
Become a SpeedDemon Productivity Tricks to Have More Time,7
Remove Blocks to Psychic Power with Past Life Therapy,7
SQL for Newbs Data Analysis for Beginners,7
"Reiki Level I, II and Master/Teacher Program",7
"Reiki Level I, II and Master Certification  Energy Healing",7
Radical Acceptance with Tara Brach,7
Shamanic Initiation for Spiritual Awakening and Liberation,7
Body Language of Love and Dating,7
Body Language for Entrepreneurs,7
Professional Life Coaching Certification & Complete Guide,7
Productivity and Time Management for the Overwhelmed,7
Certified Angelic Healing Practitioner Diploma Course,7
Certified Crystal Healing Practitioner Diploma Course,7
Personal Finance Masterclass - Easy Guide to Better Finances,7
Sounds True Presents Good Medicine,7
"Sounds True's Freedom to Choose Something Different, Part 1",7
"Sounds True's Freedom to Choose Something Different, Part 2",7
Successful Negotiation Master Your Negotiating Skills,7
Become a SuperLearner® 2 Learn Speed Reading & Boost Memory,7
Tarot Card Success - The Complete Tarot Reading Course,7
Effective Time Management - Get 10X More Done in Less Time,7
SELF-CONFIDENCE 40-minute Confidence & Self Esteem Guide,7
Increase Your Intuitive Abilities Using EFT (Tapping),7
2018 Complete Public Speaking Masterclass For Every Occasion,7
How to remember every password,7
Hypnotherapy Certification Course (Hypnosis Practitioner),7
Value Investing Bootcamp How to Invest Wisely,7
From Goal Setting to Success Life Coach Certification,7
Management Skills New Manager Training in Essential Skills,7
Acorns' Guide to Personal Finance,7
Inspirational Screenwriting.  The #1 Screenwriting Course!,7
Acumen Presents Elizabeth Gilbert's Creativity Workshop,7
Acumen Presents Seth Godin's Leadership Workshop,7
Investing In Stocks  The Complete Course! (11 Hour),7
Finding Your Life's Purpose by Eckhart Tolle,7
How to Be Psychic - Psychic Development for Beginners,7
Tidy Up Your Home The KonMari Method,7
Your 7 Chakras  The Complete Guide to Your Energy Body,7
Think Like a Leader with Brian Tracy,7
Life Purpose Life Coach Certification,7
10X Effective Learning - Speed Reading & Memory Booster,7
Life Coach Training Course Introduction to Life Coaching,7
The Secrets of Body Language,7
How To Remember Everything With Tom Weber,7
"(2019) Career Hacking Resume, LinkedIn, Interviewing +More",7
Happiness Life Coach Certification,7
Life Coaching  Start Up Your Own Life Coaching Business,7
The Core Four of Personal Finance,7
Life Coaching Certification Course (Achology Certified),7
Google Analytics for Beginners,6
Content is King How to Write Killer Content for the Web,6
How I Got Famous On Instagram In Just A Few Months!,6
How I Hit #1 on Google The 2019 Complete SEO Course,6
Google AdWords Certification - Get Certified in Just 2 Days!,6
